,zip,bar_score,bar_revcount,rest_score,rest_revcount,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
124,11001,3.925,26.0,4.125,76.1,1.0,0.0,0.0,1.0,2.0,40.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.9166666667
125,11004,3.825,39.75,4.025,81.85,99.0,81.0,18.0,0.0,30.0,607.0,336.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.8756476684
126,11005,3.90625,29.0625,3.65,74.85,11.0,10.0,1.0,0.0,2.0,40.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
127,11040,3.95,60.65,4.125,105.15,32.0,20.0,11.0,1.0,18.0,375.0,210.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,16.0517241379
128,11101,4.3,121.95,4.325,261.45,481.0,341.0,89.0,47.0,260.0,4861.0,2713.0,96.0,8.0,8.0,16.0,10.0,8.0,5.0,11.0,8.0,14.9462705436
129,11102,4.25,162.65,4.25,402.35,201.0,127.0,44.0,27.0,86.0,1443.0,806.0,19.0,7.0,0.0,6.0,2.0,1.0,4.0,11.0,2.0,14.3131313131
130,11103,4.25,179.4,4.225,463.2,439.0,268.0,90.0,78.0,213.0,4080.0,2214.0,41.0,9.0,6.0,14.0,4.0,8.0,8.0,14.0,5.0,14.4590163934
131,11104,3.925,115.05,4.125,203.8,178.0,108.0,59.0,9.0,112.0,2137.0,1176.0,21.0,9.0,4.0,4.0,6.0,7.0,3.0,8.0,3.0,15.6558345643
132,11105,4.25,131.65,4.25,317.3,258.0,173.0,48.0,36.0,134.0,2504.0,1404.0,28.0,6.0,7.0,9.0,7.0,0.0,3.0,8.0,2.0,14.5296208531
133,11106,4.2,157.7,4.35,294.6,580.0,203.0,80.0,292.0,163.0,3370.0,1895.0,28.0,14.0,6.0,6.0,7.0,7.0,8.0,13.0,5.0,15.2803308824
134,11109,3.775,160.5,4.175,214.75,3.0,3.0,0.0,0.0,7.0,117.0,60.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,14.4054054054
135,11201,4.025,167.8,4.05,434.95,848.0,602.0,214.0,21.0,347.0,6192.0,3440.0,107.0,14.0,14.0,28.0,17.0,4.0,11.0,20.0,7.0,14.4473180077
136,11203,4.05,69.95,4.075,102.1,252.0,184.0,62.0,4.0,143.0,2821.0,1569.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,15.6852678571
137,11204,4.0,72.6,4.05,96.5,290.0,214.0,56.0,18.0,125.0,2645.0,1507.0,5.0,29.0,6.0,7.0,6.0,1.0,3.0,10.0,0.0,16.3589108911
138,11205,4.175,92.35,4.275,245.65,288.0,204.0,74.0,8.0,140.0,2802.0,1554.0,40.0,9.0,5.0,10.0,3.0,7.0,6.0,7.0,3.0,14.8800436205
139,11206,4.25,116.8,4.45,248.95,287.0,205.0,72.0,7.0,151.0,2692.0,1503.0,33.0,13.0,2.0,11.0,1.0,8.0,10.0,13.0,10.0,15.2355605889
140,11207,4.4,34.65,4.275,81.0,455.0,344.0,103.0,5.0,141.0,2712.0,1511.0,19.0,29.0,1.0,2.0,1.0,10.0,0.0,13.0,17.0,15.1013363029
141,11208,4.375,58.9,4.125,133.6,271.0,184.0,82.0,3.0,112.0,2423.0,1392.0,6.0,22.0,0.0,1.0,0.0,12.0,5.0,11.0,13.0,16.2639791938
142,11209,3.95,75.1,4.175,158.85,552.0,396.0,118.0,35.0,264.0,4556.0,2447.0,65.0,23.0,10.0,10.0,16.0,1.0,8.0,23.0,2.0,14.4696569921
